  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
 53  10  -0.079 -0.075 0.570 0.579 0.579   13.1186 10.1084 7.2523
 54  10  0.073 0.007 0.438 0.423 0.434   13.1588 10.2192 7.3709
 55  10  0.059 0.527 0.040 0.442 0.438   13.0756 10.1368 7.3119
 56  10  0.030 0.786 -0.128 0.486 0.435   13.1885 10.2587 7.3693
 57  10  0.040 -0.005 0.636 0.458 0.463   12.8238 9.9348 7.1626
 58  10  -0.212 -0.302 0.146 0.709 0.717   12.9768 10.2334 7.4942
 59  10  0.019 0.261 -0.030 0.480 0.482   13.0570 10.0250 7.0669
 60  10  0.134 0.139 0.286 0.367 0.364   13.2275 10.2720 7.4887
 61  10  -0.130 0.156 -0.421 0.640 0.614   13.2002 10.2234 7.2935
 62  10  0.064 0.460 0.099 0.433 0.440   13.2621 10.2676 7.3044
 63  10  0.100 0.082 0.566 0.401 0.399   13.4117 10.3785 7.5520
 64  10  -0.014 -0.005 0.070 0.515 0.513   13.1436 10.0936 7.2245
 65  10  0.135 0.147 0.126 0.365 0.364   13.2896 10.4653 7.7311
 66  10  -0.155 -0.395 0.164 0.645 0.673   13.0431 10.1065 7.4138
 67  10  -0.304 -0.433 0.188 0.793 0.821   13.5548 10.7140 8.0628
 68  10  -0.140 -0.217 -0.043 0.636 0.645   12.8723 10.0081 7.1957
 69  10  -0.393 -0.801 1.348 0.866 0.935   14.5486 11.7767 8.8661
 70  10  -0.268 1.443 -0.695 0.811 0.679   13.7316 10.5490 7.3985
 71  10  0.026 -0.118 0.616 -0.101 0.570   12.9831 10.2295 7.4947
 72  10  0.057 -0.330 0.926 0.384 0.525   13.1950 10.4029 7.5569
 73  10  0.120 0.109 0.150 0.380 0.382   13.2163 10.1967 7.3388
 74  10  -0.129 -0.235 0.631 0.622 0.640   13.3913 10.3232 7.4177
 75  10  0.162 0.199 0.336 0.349 0.318   13.2567 10.4625 7.7138
 76  10  -0.063 0.460 -0.044 0.562 0.564   13.1454 10.0638 7.1076
 77  10  -0.261 -0.763 1.545 0.711 0.835   14.0468 11.2734 8.3538
